year,vinyl_single,lp-ep,eight_track,cassette,cassette_single,other_tapes,cd,cd_single
1973,228,280,91,15,0,2.2,0,0
1974,204,276,96.7,15.3,0,1.9,0,0
1975,164,257,94.6,16.2,0,1.5,0,0
1976,190,273,106.1,21.8,0,0.7,0,0
1977,190,344,127.3,36.9,0,0,0,0
1978,190,341.3,133.6,61.3,0,0,0,0
1979,212,290,102.3,78.5,0,0,0,0
1980,157,308,85,99,0,0,0,0
1981,154.7,295.2,50,124,0,0,0,0
1982,137.2,243.9,13.7,183.2,0,0,0,0
1983,124.8,209.6,0,236.8,0,0,0,0
1984,131.5,204.6,0,332,0,0,5.8,0
1985,120.7,167,0,339.1,0,0,22.6,0
1986,93.9,125.2,0,344.5,0,0,53,0
1987,82,107,0,410,5.1,0,102.1,0
1988,65.6,72.4,0,450.1,22.5,0,149.7,1.6
1989,36.6,34.6,0,446.2,76.2,0,207.2,0.1
1990,27.6,11.7,0,442.2,87.4,0,286.5,1.1
1991,22,4.8,0,360.1,69,0,333.3,5.7
1992,19.8,2.3,0,366.4,84.6,0,407.5,7.3
1993,15.1,1.2,0,339.5,85.6,0,495.4,7.8
1994,11.7,1.9,0,345.4,81.1,0,662.1,9.3
1995,10.2,2.2,0,272.6,70.7,0,722.9,21.5
1996,10.1,2.9,0,225.3,59.9,0,778.9,43.2
1997,7.5,2.7,0,172.6,42.2,0,753.1,66.7
1998,5.4,3.4,0,158.5,26.4,0,847,56
1999,5.3,2.9,0,123.6,14.2,0,938.9,55.9
